SPEEDELEC Booster; 35; 10900; false; 13200; green; 1279
SPEEDELEC E-Scooter; 60; 15300; false; 14800; marine; 309
E-BIKE Lankeleisi; 65; 24200; false; 10000; black; 2399
E-BIKE Lankeleisi; 50; 21600; false; 30000; flame; 859
FOLDING BIKE Benetti; 24; 27; 11400; false; rose; 1009
FOLDING BIKE Benetti; 24; 6; 9400; true; silver; 1195
FOLDING BIKE Formula; 16; 21; 12200; true; flame; 269
E-BIKE ElectrO; 20; 19300; true; 14000; beige; 1025
SPEEDELEC Dualtron; 30; 14400; true; 6500; dark gray; 1019
FOLDING BIKE Intertool; 24; 21; 12900; true; coral; 1565
E-BIKE Gazelle; 45; 25200; true; 11000; yellow; 855
SPEEDELEC EcoRide; 15; 8300; true; 15600; blue; 1055
SPEEDELEC Smart; 40; 9600; false; 13000; brown; 1065
E-BIKE Felt; 60; 28300; false; 9000; grey; 2229
SPEEDELEC Freego; 55; 9000; false; 15800; grenadine; 1505
E-BIKE Mando Footloose; 20; 26800; false; 12000; beige; 1559
FOLDING BIKE Brompton; 20; 7; 10800; true; orange; 1469
FOLDING BIKE Comanche; 24; 6; 13500; true; olive; 609
E-BIKE SkyBike; 40; 27200; false; 31000; olive; 1089
FOLDING BIKE Titan; 20; 24; 10400; true; olive; 479
FOLDING BIKE Titan; 20; 1; 11800; false; khaki; 1115
SPEEDELEC EcoRide; 50; 8400; false; 8600; brown; 1609
FOLDING BIKE BMW; 20; 7; 14400; false; lemon; 1085
E-BIKE Ecofect; 30; 19200; true; 15000; lemon; 2919
E-BIKE Gazelle; 25; 22200; true; 26000; silver; 1735
SPEEDELEC Speedway; 25; 6800; false; 15200; blue; 915
E-BIKE Ferrari; 55; 20900; false; 28000; olive; 3055
FOLDING BIKE BMW; 16; 9; 11000; true; emerald; 1459
SPEEDELEC Segway; 50; 11600; true; 7300; marine; 375
FOLDING BIKE VNV; 20; 27; 10100; true; emerald; 1645
E-BIKE ION; 25; 20800; true; 30000; coral; 2355
SPEEDELEC OIO; 10; 10400; false; 8800; pink; 1099
FOLDING BIKE Author; 20; 9; 11900; true; brown; 209
SPEEDELEC Segway; 10; 11700; false; 12000; pink; 1365
SPEEDELEC Peugeot; 60; 19800; true; 12200; yellow; 885
FOLDING BIKE West Bike; 20; 21; 15300; false; lemon; 1039
FOLDING BIKE Dahon; 14; 21; 12200; true; golden; 1169
E-BIKE Porshe Design; 45; 28800; true; 13000; dark gray; 2789
FOLDING BIKE Trinx; 20; 24; 10700; true; pink; 855
FOLDING BIKE Cayman; 16; 27; 8500; false; orange; 735
E-BIKE E-Motion; 50; 26500; false; 8000; yellow; 2145
E-BIKE Gazelle; 55; 20800; true; 14000; violet; 1805
SPEEDELEC Speedelec Minirider; 10; 7600; false; 6300; silver; 125
FOLDING BIKE Polygon; 20; 8; 15600; false; orange; 1285
FOLDING BIKE SkyBike; 24; 27; 16200; false; orange; 505
